iter	Passed	Remaining
731	67899	71239
732	67988	71142
733	68083	71052
734	68175	70958
735	68270	70868
736	68356	70768
737	68452	70678
738	68553	70594
739	68645	70500
740	68741	70411
741	68829	70313
742	69191	70495
743	69304	70422
744	69405	70336
745	69520	70266
746	69630	70189
747	69727	70100
748	69824	70010
749	69914	69914
750	70006	69820
751	70094	69722
752	70201	69641
753	70296	69551
754	70383	69451
755	70473	69355
756	70561	69256
757	70651	69159
758	70738	69060
759	70823	68959
760	70908	68858
761	70993	68757
762	71087	68665
763	71189	68580
764	71280	68485
765	71369	68387
766	71460	68293
767	71557	68203
768	71645	68105
769	71748	68021
770	71840	67926
771	71927	67828
772	72016	67731
773	72109	67637
774	72203	67544
775	72291	67447
776	72381	67351
777	72473	67256
778	72568	67165
779	72656	67067
780	72751	66976
781	72844	66882
782	72945	66797
783	73031	66697
784	73133	66611
785	73217	66510
786	73307	66414
787	73394	66315
788	73486	66221
789	73582	66131
790	73670	66033
791	73770	65946
792	73867	65857
793	73965	65767
794	74070	65684
795	74161	65590
796	74255	65498
797	74342	65399
798	74430	65301
799	74519	65204
800	74610	65109
801	74699	65013
802	74794	64920
803	74886	64826
804	74978	64733
805	75064	64633
806	75164	64546
807	75257	64452
808	75349	64359
809	75444	64267
810	75540	64177
811	75635	64084
812	75729	63993
813	75822	63899
814	75918	63808
815	76022	63724
816	76112	63628
817	76219	63547
818	76316	63457
819	76414	63368
820	76507	63274
821	76601	63182
822	76693	63087
823	76783	62991
824	76872	62895
825	76969	62806
826	77071	62719
827	77166	62628
828	77260	62535
829	77352	62441
830	77444	62347
831	77530	62247
832	77625	62156
833	77723	62066
834	77817	61974
835	77906	61877
836	78001	61786
837	78092	61690
838	78204	61612
839	78300	61522
840	78394	61429
841	78492	61339
842	78596	61255
843	78690	61162
844	78789	61073
845	78876	60975
846	78968	60881
847	79064	60790
848	79162	60700
849	79262	60612
850	79349	60514
851	79442	60420
852	79534	60326
853	79619	60227
854	79716	60137
855	79808	60042
856	79897	59946
857	79988	59851
858	80079	59756
859	80195	59680
860	80286	59585
861	80379	59491
862	80474	59400
863	80564	59304
864	80654	59208
865	80741	59110
866	80834	59017
867	80924	58921
868	81011	58824
869	81103	58729
870	81192	58633
871	81284	58539
872	81373	58443
873	81462	58347
874	81554	58253
875	81654	58164
876	81748	58072
877	81840	57977
878	81932	57884
879	82022	57788
880	82111	57692
881	82213	57605
882	82310	57514
883	82411	57427
884	82511	57338
885	82612	57250
886	82707	57158
887	82804	57068
888	82900	56976
889	83009	56893
890	83102	56800
891	83206	56714
892	83299	56621
893	83396	56530
894	83498	56443
895	83595	56352
896	83702	56267
897	83804	56180
898	83903	56091
899	84001	56000
900	84099	55910
901	84190	55815
902	84287	55724
903	84385	55634
904	84475	55539
905	84568	55445
906	84665	55354
907	84761	55263
908	84851	55167
909	84939	55070
910	85031	54976
911	85123	54882
912	85213	54786
913	85305	54692
914	85405	54603
915	85499	54510
916	85592	54416
917	85685	54323
918	85781	54231
919	85869	54134
920	85958	54039
921	86054	53947
922	86151	53856
923	86241	53761
924	86336	53668
925	86428	53574
926	86526	53484
927	86624	53393
928	86723	53303
929	86823	53214
930	86921	53123
931	87017	53031
932	87117	52942
933	87226	52859
934	87322	52767
935	87419	52675
936	87512	52582
937	87604	52488
938	87709	52401
939	87811	52312
940	87909	52222
941	88011	52133
942	88104	52040
943	88220	51960
944	88312	51866
945	88406	51772
946	88503	51681
947	88609	51595
948	88701	51500
949	88816	51419
950	88905	51324
951	89002	51232
952	89091	51136
953	89186	51043
954	89278	50949
955	89376	50858
956	89469	50764
957	89569	50674
958	89669	50585
959	89770	50495
960	89874	50408
961	89973	50318
962	90078	50230
963	90202	50154
964	90299	50062
965	90403	49974
966	90506	49886
967	90638	49813
968	90735	49721
969	90835	49631
970	90929	49538
971	91027	49447
972	91127	49357
973	91246	49276
974	91347	49187
975	91454	49100
976	91554	49009
977	91648	48916
978	91749	48826
979	91846	48734
980	91944	48643
981	92042	48551
982	92160	48470
983	92261	48380
984	92364	48291
985	92465	48202
986	92571	48114
987	92688	48032
988	92788	47942
989	92889	47851
990	92985	47759
991	93084	47668
992	93192	47581
993	93286	47487
994	93385	47396
995	93482	47304
996	93583	47213
997	93685	47124
998	93760	47021
999	93857	46928
1000	93958	46838
1001	94058	46747
1002	94178	46666
1003	94267	46570
1004	94367	46479
1005	94470	46390
1006	94569	46298
1007	94673	46209
1008	94773	46118
1009	94874	46028
1010	94974	45937
1011	95080	45849
1012	95180	45758
1013	95275	45664
1014	95377	45574
1015	95483	45486
1016	95594	45400
1017	95695	45309
1018	95801	45221
1019	95912	45135
1020	96013	45044
1021	96137	44964
1022	96229	44869
1023	96329	44778
1024	96423	44683
1025	96517	44590
1026	96613	44496
1027	96713	44405
1028	96809	44312
1029	96921	44226
1030	97024	44136
1031	97122	44044
1032	97217	43950
1033	97307	43854
1034	97409	43763
1035	97510	43672
1036	97622	43586
1037	97718	43493
1038	97814	43400
1039	97918	43310
1040	98020	43219
1041	98111	43123
1042	98217	43034
1043	98315	42942
1044	98407	42847
1045	98510	42757
1046	98624	42671
1047	98749	42590
1048	98845	42496
1049	98931	42399
1050	99021	42303
1051	99121	42211
1052	99217	42117
1053	99325	42029
1054	99425	41937
1055	99528	41847
1056	99620	41752
1057	99719	41659
1058	99819	41567
1059	99911	41472
1060	100014	41382
1061	100115	41290
1062	100226	41203
1063	100326	41111
1064	100425	41018
1065	100535	40930
1066	100629	40836
1067	100730	40745
1068	100835	40655
1069	100935	40563
1070	101035	40470
1071	101140	40380
1072	101227	40283
1073	101324	40190
1074	101420	40096
1075	101521	40004
1076	101625	39914
1077	101738	39827
1078	101844	39737
1079	101955	39649
1080	102093	39572
1081	102189	39478
1082	102284	39383
1083	102379	39289
1084	102479	39197
1085	102580	39105
1086	102686	39015
1087	102798	38927
1088	102915	38841
1089	103019	38750
1090	103231	38700
1091	103507	38673
1092	103622	38585
1093	103739	38499
1094	103850	38410
1095	103962	38321
1096	104066	38230
1097	104177	38141
1098	104274	38047
1099	104367	37951
1100	104471	37860
1101	104571	37767
1102	104679	37677
1103	104784	37585
1104	104882	37491
1105	104991	37402
1106	105095	37310
1107	105211	37222
1108	105309	37129
1109	105405	37034
1110	105510	36942
1111	105606	36848
1112	105698	36752
1113	105798	36659
1114	105910	36569
1115	106009	36476
1116	106110	36383
1117	106202	36287
1118	106299	36193
1119	106406	36102
1120	106516	36012
1121	106617	35919
1122	106712	35824
1123	106809	35729
1124	106908	35636
1125	107013	35544
1126	107110	35450
1127	107212	35357
1128	107305	35261
1129	107406	35168
1130	107502	35073
1131	107599	34979
1132	107691	34883
1133	107788	34788
1134	107883	34693
1135	107986	34601
1136	108090	34508
1137	108187	34414
1138	108290	34322
1139	108391	34228
1140	108496	34136
1141	108597	34043
1142	108696	33949
1143	108790	33854
1144	108887	33759
1145	108984	33665
1146	109089	33573
1147	109181	33477
1148	109286	33385
1149	109385	33291
1150	109491	33199
1151	109587	33104
1152	109683	33009
1153	109782	32915
1154	109892	32825
1155	109987	32729
1156	110090	32637
1157	110184	32541
1158	110278	32445
1159	110377	32352
1160	110473	32256
1161	110576	32164
1162	110676	32070
1163	110773	31975
1164	110865	31879
1165	110972	31787
1166	111072	31694
1167	111179	31602
1168	111279	31508
1169	111378	31414
1170	111484	31322
1171	111587	31229
1172	111689	31135
1173	111788	31041
1174	111877	30944
1175	111974	30850
1176	112076	30756
1177	112172	30661
1178	112261	30564
1179	112356	30469
1180	112450	30373
1181	112557	30281
1182	112651	30186
1183	112745	30090
1184	112833	29993
1185	112926	29897
1186	113020	29802
1187	113125	29709
